label,top1,top2,top5
山药炒肉片,0.5172413793103449,0.7586206896551724,0.9655172413793104
蒜蓉油麦菜,0.8333333333333334,0.9166666666666666,1.0
爆炒鱿鱼卷,0.7857142857142857,0.9047619047619048,0.9285714285714286
小炒扇贝肉,0.6666666666666666,0.9333333333333333,0.9666666666666667
爆炒鱿鱼须,0.75,0.875,0.9545454545454546
蛋饺,0.84375,0.90625,0.9375
豆腐花,0.2857142857142857,0.6428571428571429,0.9285714285714286
冰棍,0.5740740740740741,0.6851851851851852,0.7962962962962963
小笼包,0.83125,0.9875,0.9875
螺浉粉,0.9090909090909091,1.0,1.0
蕃茄芝士沙律,0.0,0.5454545454545454,1.0
酿苦瓜,0.9230769230769231,1.0,1.0
炸丸子,0.8604651162790697,0.9302325581395349,0.9767441860465116
丑橘,0.8333333333333334,0.9333333333333333,1.0
海带炖排骨,0.7222222222222222,0.8888888888888888,1.0
西红柿炒蛋盖饭,0.7073170731707317,0.8780487804878049,0.975609756097561
花生米,0.9302325581395349,0.9883720930232558,0.9883720930232558
清蒸鱼,0.9891891891891892,0.9945945945945946,1.0
煎饼果子,0.5510204081632653,0.7551020408163265,0.9183673469387755
青椒酿肉,0.7777777777777778,0.9444444444444444,1.0
酸奶,0.6744186046511628,0.9069767441860465,1.0
荔枝,0.9534883720930233,1.0,1.0
红烧狮子头,0.9743589743589743,0.9871794871794872,1.0
杨桃,0.88,0.92,0.96
南瓜粥,0.6027397260273972,0.9178082191780822,1.0
糖醋鱼,0.6607142857142857,0.875,0.9285714285714286
炸知了猴,0.5,0.9285714285714286,1.0
果脯,0.7090909090909091,0.8727272727272727,0.9636363636363636
圣女果,0.75,0.9375,1.0
榴莲酥,0.7142857142857143,0.8571428571428571,0.9428571428571428
火龙果,0.8571428571428571,0.9761904761904762,1.0
烤玉米,0.9318181818181818,1.0,1.0
烤面筋,0.8,0.9714285714285714,1.0
秋葵炒鸡蛋,0.6956521739130435,0.9347826086956522,1.0
桂花糕,0.7391304347826086,0.8695652173913043,1.0
咖喱鸡,0.6944444444444444,0.7777777777777778,0.9166666666666666
京酱肉丝,0.9523809523809523,0.9761904761904762,0.9880952380952381
巧克力蛋糕,0.8037383177570093,0.8878504672897196,0.9813084112149533
可乐,0.9056603773584906,0.9433962264150944,0.9622641509433962
丝瓜炒鸡蛋,0.6470588235294118,0.9411764705882353,0.9803921568627451
台湾手抓饼,0.6538461538461539,0.8076923076923077,0.9230769230769231
麻婆豆腐盖饭,0.8181818181818182,0.8636363636363636,1.0
爽口萝卜,0.5806451612903226,0.8387096774193549,0.967741935483871
芹菜香干,0.9090909090909091,0.9636363636363636,1.0
疙瘩汤,0.76,0.88,0.96
日式拉面,0.8048780487804879,0.8292682926829268,1.0
排骨汤面,0.38461538461538464,0.7692307692307693,0.9230769230769231
苹果,0.8620689655172413,0.9827586206896551,1.0
干煸豆角,0.8043478260869565,0.9347826086956522,0.9782608695652174
方便面,0.85,0.95,1.0
薏米红豆粥,0.6538461538461539,0.9230769230769231,0.9615384615384616
粉蒸排骨,0.1875,0.8125,0.9791666666666666
酸辣粉,0.8455284552845529,0.9024390243902439,0.926829268292683
爆炒猪肝,0.6571428571428571,0.9285714285714286,0.9857142857142858
炸鸡翅,0.5,0.6590909090909091,0.8636363636363636
面包,0.8181818181818182,0.8831168831168831,0.948051948051948
辣炒蛤蜊,0.9680851063829787,0.9893617021276596,0.9893617021276596
西湖牛肉羹,0.8333333333333334,0.9333333333333333,0.9666666666666667
剁椒鱼头,0.8913043478260869,0.9891304347826086,1.0
麻辣香锅,0.8222222222222222,0.9333333333333333,0.9333333333333333
紫薯,0.9649122807017544,1.0,1.0
烤韭菜,0.9473684210526315,0.9868421052631579,1.0
